,类别,类型,题目,难度,选项,答案
245,机器学习与深度学习,单选题,"影推荐系统是以下哪些的应用实例
1 分类
2 聚类
3 强化学习
4 回归",3,"['只有2', '1和2', '1和3', '2和3', '1 2 3', '1 2 3 4']",E
246,机器学习与深度学习,单选题,对于一个图像识别问题(在一张照片里找出一只猫)，下面哪种神经网络可以更好地解决这个问题？,3,"['循环神经网络', '感知机', '多层感知机', '卷积神经网络']",D
247,机器学习与深度学习,单选题,当在卷积神经网络中加入池化层(pooling layer)时，变换的不变性会被保留，是吗？,3,"['不知道', '看情况', '是', '否']",C
248,机器学习与深度学习,单选题,如果我们用了一个过大的学习速率会发生什么？,3,"['神经网络会收敛', '不好说', '都不对 ', '神经网络不会收敛']",D
249,机器学习与深度学习,单选题,在一个神经网络中，下面哪种方法可以用来处理过拟合？,3,"['Dropout', '分批归一化(Batch Normalization)', '正则化(regularization)', '都可以']",D
250,机器学习与深度学习,单选题,批规范化(Batch Normalization)的好处都有啥？,3,"['在将所有的输入传递到下一层之前对其进行归一化（更改）', '它将权重的归一化平均值和标准差', '它是一种非常有效的反向传播(BP)方法', '这些均不是']",A
251,机器学习与深度学习,单选题,下列哪个神经网络结构会发生权重共享？,3,"['卷积神经网络', '循环神经网络', '全连接神经网络', 'A和B']",D
252,机器学习与深度学习,单选题,构建一个神经网络，将前一层的输出和它自身作为输入。下列哪一种架构有反馈连接？,3,"['循环神经网络', '卷积神经网络', '限制玻尔兹曼机', '都不是']",A
253,机器学习与深度学习,单选题,下列哪项关于模型能力（model capacity）的描述是正确的？（指神经网络模型能拟合复杂函数的能力）,3,"['隐藏层层数增加，模型能力增加', 'Dropout的比例增加，模型能力增加', '学习率增加，模型能力增加', '都不正确']",A
254,机器学习与深度学习,单选题,在训练神经网络时，损失函数(loss)在最初的几个epochs时没有下降，可能的原因是？,3,"['学习率(learning rate)太低', '正则参数太高', '陷入局部最小值', '以上都有可能']",A
255,机器学习与深度学习,单选题,下列哪一项在神经网络中引入了非线性？,3,"['随机梯度下降', '修正线性单元（ReLU）', '卷积函数', '以上都不正确']",B
256,机器学习与深度学习,单选题,下面哪项操作能实现跟神经网络中Dropout的类似效果？,3,"['Boosting ', 'Bagging', 'Stacking', 'Mapping']",B
257,机器学习与深度学习,单选题,"已知： 
- 大脑是有很多个叫做神经元的东西构成，神经网络是对大脑的简单的数学表达。 
- 每一个神经元都有输入、处理函数和输出。 
- 神经元组合起来形成了网络，可以拟合任何函数。 
- 为了得到最佳的神经网络，我们用梯度下降方法不断更新模型 
给定上述关于神经网络的描述，什么情况下神经网络模型被称为深度学习模型？",3,"['加入更多层，使神经网络的深度增加', '有维度更高的数据', '当这是一个图形识别的问题时', '以上都不正确']",A
258,机器学习与深度学习,单选题,一监狱人脸识别准入系统用来识别待进入人员的身份，此系统一共包括识别4种不同的人员：狱警，小偷，送餐员，其他。下面哪种学习方法最适合此种应用需求,3,"['二分类问题 ', '多分类问题', '层次聚类问题', ' k-中心点聚类问题', '回归问题', '结构分析问题']",B
259,机器学习与深度学习,单选题,"梯度下降算法的正确步骤是什么
1.计算预测值和真实值之间的误差 
2.重复迭代，直至得到网络权重的最佳值 
3.把输入传入网络，得到输出值 
4.用随机值初始化权重和偏差 
5.对每一个产生误差的神经元，调整相应的（权重）值以减小误差",3,"['1, 2, 3, 4, 5', '5, 4, 3, 2, 1', '3, 2, 1, 5, 4', '4, 3, 1, 5, 2']",D
260,机器学习与深度学习,单选题,下列方法中，不可以用于特征降维的方法包括,3,"['主成分分析PCA', '线性判别分析LDA', '深度学习SparseAutoEncoder', '矩阵奇异值分解SVD']",C
261,机器学习与深度学习,单选题,神经网络模型（Neural Network）因受人类大脑的启发而得名。神经网络由许多神经元（Neuron）组成，每个神经元接受一个输入，对输入进行处理后给出一个输出。请问下列关于神经元的描述中，哪一项是正确的？,3,"['每个神经元只有一个输入和一个输出', '每个神经元有多个输入和一个输出', '每个神经元有一个输入和多个输出', '每个神经元有多个输入和多个输出', '上述都正确']",E
262,机器学习与深度学习,单选题,"深度学习是当前很热门的机器学习算法，在深度学习中，涉及到大量的矩阵相乘，现在需要计算三个稠密矩阵A,B,C的乘积ABC,假90设三个矩阵的尺寸分别为m∗n，n∗p，p∗q，且m <n <p <q，以下计算顺序效率最高的是",3,"['(AB)C ', 'AC(B)', 'A(BC)', '所以效率都相同']",A
263,机器学习与深度学习,单选题,基于统计的分词方法为,3,"['正向量最大匹配法', '逆向量最大匹配法', '最少切分', '条件随机场']",D
264,机器学习与深度学习,单选题,"以下几种模型方法属于判别式模型(Discriminative Model)的有
1)混合高斯模型
2)条件随机场模型
3)区分度训练
4)隐马尔科夫模型",3,"['2、3', '3、4', '1、4', '1、2']",A
265,机器学习与深度学习,单选题,下面有关分类算法的准确率，召回率，F1 值的描述，错误的是？,3,"['准确率是检索出相关文档数与检索出的文档总数的比率，衡量的是检索系统的查准率', '召回率是指检索出的相关文档数和文档库中所有的相关文档数的比率，衡量的是检索系统的查全率', '正确率、召回率和 F 值取值都在0和1之间，数值越接近0，查准率或查全率就越高', '为了解决准确率和召回率冲突问题，引入了F1分数']",C
266,机器学习与深度学习,单选题,基于统计的分词方法为,3,"['正向最大匹配法', '逆向最大匹配法', '最少切分', '条件随机场']",D
267,机器学习与深度学习,单选题,在大规模的语料中，挖掘词的相关性是一个重要的问题。以下哪一个信息不能用于确定两个词的相关性,3,"['互信息', '最大熵', '卡方检验', '最大似然比']",B
268,机器学习与深度学习,单选题,下列哪个不属于常用的文本分类的特征选择算法？,3,"['卡方检验值', '互信息', '信息增益', '主成分分析']",D
269,机器学习与深度学习,单选题,中文同义词替换时，常用到Word2Vec，以下说法错误的是,3,"['Word2Vec基于概率统计', 'Word2Vec结果符合当前预料环境', 'Word2Vec得到的都是语义上的同义词', 'Word2Vec受限于训练语料的数量和质量']",C
270,机器学习与深度学习,单选题,"想象一下，你有一个 28x28 的图片，并使用输入深度为 3 和输出深度为 8 在上面运行一个 3x3 的卷积神经网络。注意，步幅padding是1，你正在使用相同的填充（padding）
当使用给定的参数时，输出特征图的尺寸是多少",3,"['28 宽、28 高、8 深', '13 宽、13 高、8 深', '28 宽、13 高、8 深', '13 宽、28 高、8 深']",A
271,机器学习与深度学习,单选题,输入图片大小为200×200，依次经过一层卷积（kernel size 5×5，padding 1，stride 2），pooling（kernel size 3×3，padding 0，stride 1），又一层卷积（kernel size 3×3，padding 1，stride 1）之后，输出特征图大小为,3,"['95', '96', '97', '98']",C
272,机器学习与深度学习,单选题,"在选择神经网络的深度时，下面那些参数需要考虑？
1 神经网络的类型(如MLP,CNN) 
2 输入数据 
3 计算能力(硬件和软件能力决定) 
4 学习速率 
5 映射的输出函数",3,"['1 2 4 5', '2 3 4 5', '都需要考虑', '1 3 4 5']",C
273,机器学习与深度学习,单选题,当数据过大以至于无法在RAM中同时处理时，哪种梯度下降方法更加有效？,3,"['随机梯度下降法(Stochastic Gradient Descent)', '不知道', '整批梯度下降法(Full Batch Gradient Descent)', '都不是']",A
274,机器学习与深度学习,单选题,假设我们已经在ImageNet数据集(物体识别)上训练好了一个卷积神经网络。然后给这张卷积神经网络输入一张全白的图片。对于这个输入的输出结果为任何种类的物体的可能性都是一样的，对吗？,3,"['对', '不知道', '看情况', '不对']",D
275,机器学习与深度学习,单选题,假设你需要调整参数来最小化代价函数（cost function），可以使用下列哪项技术？,3,"['穷举搜索', '随机搜索', 'Bayesian优化', '以上任意一种']",D
276,机器学习与深度学习,单选题,"对于神经网络的说法, 下面正确的是 
1.增加神经网络层数, 可能会增加测试数据集的分类错误率 
2.减少神经网络层数, 总是能减小测试数据集的分类错误率 
3.增加神经网络层数, 总是能减小训练数据集的分类错误率",3,"['1', '1和3', '1和2', '2']",A
277,机器学习与深度学习,单选题, 想像正在处理文本数据，使用单词嵌入（Word2vec）表示使用的单词。在单词嵌入中，最终会有1000维。现在想减小这个高维数据的维度，这样相似的词应该在最邻近的空间中具有相似的含义。在这种情况下，您最有可能选择以下哪种算法？,3,"[' t-SNE', 'PCA', 'LDA', '都不是']",A
278,机器学习与深度学习,单选题,"隐马尔可夫模型（HMM），设其观察值
空间为
 
状态空间为
 
如果用维特比算法(Viterbi algorithm)进行解码，时间复杂度为",3,"['O(NK)', 'O(NK^2)', 'O(N^2K)', '都不是']",D
279,机器学习与深度学习,单选题,"（假设precision=TP/(TP+FP),recall=TP/(TP+FN)。）在二分类问题中，当测试集的正例和负例数量不均衡时，以下评价方案哪个是相对不合理的",3,"['Accuracy:(TP+TN)/all', 'F-value:2*recall*precision/(recall+precision)', 'G-mean:sqrt(precision*recall)', 'AUC:曲线下面积']",A
280,机器学习与深度学习,单选题,语言模型的参数估计经常使用MLE（最大似然估计）。面临的一个问题是没有出现的项概率为0，这样会导致语言模型的效果不好。为了解决这个问题，需要使用,3,"['平滑', '去噪', '随机插值', '增加白噪音']",A
281,机器学习与深度学习,单选题,下图显示了三个逻辑回归模型的AUC-ROC曲线。不同的颜色表示不同超参数值的曲线。以下哪个AUC-ROC会给出最佳结果？,3,"['黄色', '粉色', '紫色', '都相同']",A
282,机器学习与深度学习,单选题,"假定你现在解决一个有着非常不平衡类别的分类问题，即主要类别占据了训练数据的 99%。现在你的模型在测试集上表现为 99% 的准确度。那么下面哪一项表述是正确的？ 
1 准确度并不适合于衡量不平衡类别问题
2 准确度适合于衡量不平衡类别问题
3 精确率和召回率适合于衡量不平衡类别问题
3 精确率和召回率不适合于衡量不平衡类别问题",3,"['1和3', '1和4', '2和3', '2和4']",A
283,机器学习与深度学习,单选题,考虑某个具体问题时，你可能只有少量数据来解决这个问题。不过幸运的是你有一个类似问题已经预先训练好的神经网络。可以用下面哪种方法来利用这个预先训练好的网络？,3,"['把除了最后一层外所有的层都冻住，重新训练最后一层', '对新数据重新训练整个模型', '只对最后几层进行调参(fine tune)', '对每一层模型进行评估，选择其中的少数来用']",C
284,机器学习与深度学习,单选题,下图显示，当开始训练时，误差一直很高，这是因为神经网络在往全局最小值前进之前一直被卡在局部最小值里。为了避免这种情况，我们可以采取下面哪种策略？,3,"['改变学习速率，比如一开始的几个训练周期不断更改学习速率', '一开始将学习速率减小10倍，然后用动量项(momentum)', '增加参数数目，这样神经网络就不会卡在局部最优处', '其他都不对']",A
285,机器学习与深度学习,单选题,下图是一个利用sigmoid函数作为激活函数的含四个隐藏层的神经网络训练的梯度下降图。这个神经网络遇到了梯度消失的问题。下面哪个叙述是正确的？,3,"['第一隐藏层对应D，第二隐藏层对应C，第三隐藏层对应B，第四隐藏层对应A', '第一隐藏层对应D，第二隐藏层对应C，第三隐藏层对应B，第四隐藏层对应A', '第一隐藏层对应A，第二隐藏层对应B，第三隐藏层对应C，第四隐藏层对应D', '第一隐藏层对应B，第二隐藏层对应D，第三隐藏层对应C，第四隐藏层对应A']",A
286,机器学习与深度学习,单选题,"下图显示了训练过的3层卷积神经网络准确度，与参数数量(特征核的数量)的关系。
从图中趋势可见，如果增加神经网络的宽度，精确度会增加到一个特定阈值后，便开始降低。造成这一现象的可能原因是什么？",3,"['即使增加卷积核的数量，只有少部分的核会被用作预测', '当卷积核数量增加时，神经网络的预测能力（Power）会降低', '当卷积核数量增加时，它们之间的相关性增加(correlate)，导致过拟合', '以上都不正确']",C
287,机器学习与深度学习,单选题,想像正在处理文本数据，使用单词嵌入（Word2vec）表示使用的单词。在单词嵌入中，最终会有1000维。现在想减小这个高维数据的维度，这样相似的词应该在最邻近的空间中具有相似的含义。在这种情况下，您最有可能选择以下哪种算法？,3,"['t-SNE', 'PCA', 'LDA', '都不是']",A
288,机器学习与深度学习,单选题,"你可以使用不同的标准评估二元分类问题的表现，例如准确率、log-loss、F-Score。让我们假设你使用 log-loss 函数作为评估标准。 D 
下面这些选项，哪个／些是对作为评估标准的 log-loss 的正确解释。
1 如果一个分类器对不正确的分类很自信，log-loss 会严重的批评它。
2 对一个特别的观察而言，分类器为正确的类别分配非常小的概率，然后对 log-loss 的相应分布会非常大。
3 log-loss 越低，模型越好。",3,"['1和3', '2和3', '1和2', '1 2 3']",D
289,机器学习与深度学习,多选题,影响聚类算法效果的主要原因有,1,"['特征选取', '模式相似性测度', '分类准则', '已知类别的样本质量']","A,B,C"
290,机器学习与深度学习,多选题,在统计模式分类问题中，当先验概率未知时，可以使用,1,"['最小损失准则', '最小最大损失准则', '最小误判概率准则', 'N-P判决']","B,D"
291,机器学习与深度学习,多选题,下列哪些方法可以用来对高维数据进行降维,1,"['LASSO', '主成分分析法', '聚类分析', '小波分析法', '线性判别法', '拉普拉斯特征映射']","A,B,C,D,E,F"
292,机器学习与深度学习,多选题,处理类别型特征时，事先不知道分类变量在测试集中的分布。要将 one-hot encoding（独热码）应用到类别型特征中。那么在训练集中将独热码应用到分类变量可能要面临的困难是什么？,1,"['分类变量所有的类别没有全部出现在测试集中', '类别的频率分布在训练集和测试集是不同的', '训练集和测试集通常会有一样的分布']","A,B"
293,机器学习与深度学习,多选题,如果以特征向量的相关系数作为模式相似性测度，则影响聚类算法结果的主要因素有,1,"['已知类别样本质量', '分类准则', '特征选取', '量纲']","B,C"
294,机器学习与深度学习,多选题,影响基本K-均值算法的主要因素有,1,"['样本输入顺序', '模式相似性测度', '聚类准则', '初始类中心的选取']","A,B,D"
295,机器学习与深度学习,多选题,以下哪个属于线性分类器最佳准则?,1,"['感知准则函数', '贝叶斯分类', '支持向量机', 'Fisher准则']","A,C,D"
296,机器学习与深度学习,多选题,以下说法中正确的是,1,"['SVM对噪声(如来自其他分布的噪声样本)鲁棒', '在AdaBoost算法中,所有被分错的样本的权重更新比例相同', 'Boosting和Bagging都是组合多个分类器投票的方法,二者都是根据单个分类器的正确率决定其权重', '给定n个数据点,如果其中一半用于训练,一般用于测试,则训练误差和测试误差之间的差别会随着n的增加而减少']","B,D"
297,机器学习与深度学习,多选题,机器学习中L1正则化和L2正则化的区别是？,1,"['使用L1可以得到稀疏的权值', '使用L1可以得到平滑的权值', '使用L2可以得到稀疏的权值', '使用L2可以得到平滑的权值']","A,D"
298,机器学习与深度学习,多选题,位势函数法的积累势函数K(x)的作用相当于Bayes判决中的,1,"['后验概率', '先验概率', '类概率密度', '类概率密度与先验概率的乘积']","A,D"
299,机器学习与深度学习,多选题,下列方法中，可以用于特征降维的方法包括,1,"['主成分分析PCA', '线性判别分析LDA', '深度学习SparseAutoEncoder', '矩阵奇异值分解SVD', '最小二乘法LeastSquares']","A,B,C,D"
300,机器学习与深度学习,多选题,数据清理中，处理缺失值的方法是?,1,"['估算', '整例删除 ', '变量删除', '成对删除']","A,B,C,D"
301,机器学习与深度学习,多选题,下面哪些是基于核的机器学习算法?,2,"['Expectation Maximization（EM）（最大期望算法）', 'Radial Basis Function（RBF）（径向基核函数）', 'Linear Discrimimate Analysis（LDA）（主成分分析法）', 'Support Vector Machine（SVM）（支持向量机）']","B,C,D"
302,机器学习与深度学习,多选题,在统计模式识分类问题中，当先验概率未知时，可以使用,2,"['最小损失准则', 'N-P判决', '最小最大损失准则', '最小误判概率准则']","B,C"
303,机器学习与深度学习,多选题,"在分类问题中,我们经常会遇到正负样本数据量不等的情况,比如正样本为10w条数据,负样本只有1w条数据,以下最合适的处理方法是",2,"['将负样本重复10次,生成10w样本量,打乱顺序参与分类', '直接进行分类,可以最大限度利用数据', '从10w正样本中随机抽取1w参与分类', '将负样本每个权重设置为10,正样本权重为1,参与训练过程']","A,C,D"
304,机器学习与深度学习,多选题,"关于线性回归的描述,以下正确的有:",2,"['基本假设包括随机干扰项是均值为0,方差为1的标准正态分布', '基本假设包括随机干扰下是均值为0的同方差正态分布', '在违背基本假设时,普通最小二乘法估计量不再是最佳线性无偏估计量', '在违背基本假设时,模型不再可以估计', '可以用DW检验残差是否存在序列相关性', '多重共线性会使得参数估计值方差减小']","A,C,E,F"
305,机器学习与深度学习,多选题,基于二次准则函数的H-K算法较之于感知器算法的优点是,2,"['计算量小 ', '可以判别问题是否线性可分 ', '其解完全适用于非线性可分的情况', '其解的适应性更好']","B,D"
306,机器学习与深度学习,多选题,假定目标变量的类别非常不平衡，即主要类别占据了训练数据的 99%。现在你的模型在测试集上表现为 99% 的准确度。那么下面哪一项表述是正确的？,2,"['准确度并不适合于衡量不平衡类别问题', '准确度适合于衡量不平衡类别问题', '精确率和召回率适合于衡量不平衡类别问题', ' 精确率和召回率不适合于衡量不平衡类别问题']","A,C"
307,机器学习与深度学习,多选题,鉴别了多元共线特征。那么下一步可能的操作是什么？,2,"['移除两个共线变量', '不移除两个变量，而是移除一个', '移除相关变量可能会导致信息损失，可以使用带罚项的回归模型（如 ridge 或 lasso regression）']","B,C"
308,机器学习与深度学习,多选题,下面哪些对「类型 1（Type-1）」和「类型 2（Type-2）」错误的描述是正确的？,2,"['类型 1 通常称之为假正类，类型 2 通常称之为假负类', '类型 2 通常称之为假正类，类型 1 通常称之为假负类', '类型 1 错误通常在其是正确的情况下拒绝假设而出现']","A,C"
309,机器学习与深度学习,多选题,模式识别中，马式距离较之于欧式距离的优点是,2,"['平移不变性', '旋转不变性', '尺度不变性', '考虑了模式的分布']","C,D"
310,机器学习与深度学习,多选题,影响聚类算法结果的主要因素有,2,"['已知类别的样本质量', '分类准则', '特征选取', '模式相似性测度']","B,C,D"
311,机器学习与深度学习,多选题,假定某同学使用Naive Bayesian（NB）分类模型时，不小心将训练数据的两个维度搞重复了，那么关于NB的说法中正确的是,3,"['这个被重复的特征在模型中的决定作用会被加强', '模型效果相比无重复特征的情况下精确度会降低', '如果所有特征都被重复一遍，得到的模型预测结果相对于不重复的情况下的模型预测结果一样', '当两列特征高度相关时，无法用两列特征相同时所得到的结论来分析问题', 'NB可以用来做最小二乘回归', '以上说法都不正确']","B,D"
312,机器学习与深度学习,多选题,隐马尔可夫模型三个基本问题以及相应的算法说法正确的是,3,"['评估—前向后向算法', '解码—维特比算法', '学习—Baum-Welch算法', '学习—前向后向算法']","A,B,C"
